population,average_age,average_health,average_stress,average_bank_balance,average_debt,gini_coefficient,unemployment_rate,average_education,hospital_strain,death_toll,average_life_expectancy,seir_susceptible,seir_exposed,seir_infected,seir_recovered,infant_mortality,tick,government_capital,private_capital,dependency_ratio,total_wealth_inherited,total_wealth_escheated
150,31.063082296767867,71.34863605115994,14.0,4936.036071290857,649.357352288102,0.8282419421633656,0.044444444444444446,0.2902308439996581,0.0,0,0.0,147,3,0,0,26.0,0,129836.38754521859,562200.0,0.0,0.0,0.0
150,31.146415630101203,71.34863605115994,12.911546442019059,4919.510615675183,578.5961826292568,0.8228260402673968,0.0,0.2952975106663248,0.0,0,0.0,146,1,2,1,26.0,1,125483.34375554898,565719.6391933592,0.6666666666666666,0.0,0.0
150,31.22974896343454,71.34863605115994,11.922382864640616,4946.3944847312805,550.5656277316137,0.8170852830041482,0.0,0.3003641773329915,0.0,0,0.0,146,0,0,4,26.0,2,122912.61459270293,567400.6455054617,0.6666666666666666,0.0,0.0
150,31.313082296767874,71.34863605115994,11.04900944078009,4976.219954772182,524.705717298776,0.8127646673091702,0.0,0.3052975106663248,0.0,0,0.0,146,0,0,4,26.0,3,120666.82292993506,568498.5627977193,0.6666666666666666,0.0,0.0
150,31.396415630101206,71.34863605115994,10.293222635269592,5008.4508576269955,500.869220496442,0.8063966478218967,0.0,0.3102308439996581,0.0,0,0.0,146,0,0,4,26.0,4,118396.49332736526,569566.5499168222,0.6483516483516484,0.0,0.0
150,31.47974896343454,71.34863605115994,9.518164296523418,5044.039935316877,479.5915013064403,0.8017532235934122,0.0,0.31503084399965814,0.0,0,0.0,146,0,0,4,26.0,5,116301.46345439892,571185.7980046371,0.6483516483516484,0.0,0.0
150,31.563082296767874,71.34863605115994,8.893597441653977,5081.558197698342,459.8980326534831,0.7952531195223955,0.0,0.3200975106663248,0.0,0,0.0,146,0,0,4,26.0,6,114146.0722122351,572945.9491562892,0.6304347826086957,0.0,0.0
150,31.646415630101206,71.34863605115994,8.435235405676648,5121.777669054038,442.11413710067194,0.7906046569504936,0.0,0.32503084399965815,0.0,0,0.0,146,0,0,4,26.0,7,111898.6762953391,574003.6855582006,0.6304347826086957,0.0,0.0
150,31.72974896343454,71.34863605115994,8.034100142653259,5163.700999216911,425.7172841189233,0.7837338685029172,0.0,0.32996417733299144,0.0,0,0.0,146,0,0,4,26.0,8,109724.18113620541,575373.3747739048,0.6129032258064516,0.0,0.0
151,31.602399632550867,71.39055495366523,7.6525073936774985,5174.2844224001365,408.958496214499,0.7789622661558016,0.0,0.33267964635727626,0.0,0,0.0,147,0,0,4,26.0,9,107472.20993722834,576627.4079936576,0.6129032258064516,0.0,0.0
151,31.6857329658842,71.2555154471065,7.222517724908067,5220.138079900005,395.78486313761977,0.7722447497038951,0.0,0.3375803086089319,0.0,0,0.0,147,0,0,4,26.0,10,105279.88834698232,578006.1807757883,0.6063829787234043,0.0,0.0
151,31.769066299217535,71.39055495366523,6.891445618083974,5266.790885676759,383.15504912566547,0.7655885624633698,0.0,0.34248097086058754,0.0,0,0.0,147,0,0,4,26.0,11,102695.06240369155,579925.6304152203,0.6063829787234043,0.0,0.0
151,31.852399632550867,71.25540507183057,6.594325476952372,5314.691067440588,371.52113825571104,0.758947851308164,0.0,0.3473816331122432,0.0,0,0.0,147,0,0,4,26.0,12,100580.26754023676,581661.1992827696,0.6063829787234043,0.0,0.0
152,31.7256294595297,71.39953299787139,6.2921594729188195,5328.58105270245,358.5472353513764,0.7522995813595506,0.0,0.34996464868387317,0.0,0,0.0,148,0,0,4,26.0,13,98016.70744705532,583753.3021444449,0.6063829787234043,0.0,0.0
152,31.80896279286303,71.26516261087336,5.964066869676942,5378.621317565855,348.4268071532023,0.7480652193229693,0.0,0.3547014907891363,0.0,0,0.0,148,0,0,4,26.0,14,95744.78481089133,584604.4819230109,0.6170212765957447,0.0,0.0
152,31.892296126196367,71.26181157031273,5.6768532322849845,5429.686866030008,339.0330722776611,0.7414802934786455,0.0,0.3595699118417679,0.0,0,0.0,148,0,0,4,26.0,15,93164.90399634893,586784.3118045175,0.6,0.0,0.0
152,31.975629459529703,70.98955528207185,5.421813389016072,5481.755060203833,330.41544189250095,0.7374686211382133,0.010416666666666666,0.36430675394703105,0.0,0,0.0,148,0,0,4,26.0,16,90991.94345626216,588370.9723797649,0.6,0.0,0.0
152,32.058962792863035,71.39953299787139,5.272933424636375,5534.352912809224,322.0831216347794,0.7311163521244313,0.010416666666666666,0.3690435960522942,0.0,0,0.0,148,0,0,4,26.0,17,87970.00287896473,590544.9681956262,0.5833333333333334,0.0,0.0
152,32.14229612619637,71.12705741138488,4.923600733682859,5585.457476602961,312.65523399930163,0.7248743617091504,0.0,0.37378043815755735,0.0,0,0.0,148,0,0,4,26.0,18,85871.25762828958,592532.0607301991,0.5833333333333334,0.0,0.0
152,32.225629459529706,71.12370637082425,5.141729495357042,5637.905779657408,303.87836543599053,0.7183900820012552,0.0,0.37851728026282055,0.0,0,0.0,148,0,0,4,26.0,19,83234.42011852347,594398.6503217781,0.6,0.0,0.0
152,32.30896279286304,71.26483366350494,4.921912404123873,5691.040588399873,295.56411272004175,0.7119234699967074,0.0,0.3833857013154521,0.0,0,0.0,148,0,0,4,26.0,20,80592.63400133741,596559.7820619463,0.6,0.0,0.0
152,32.39229612619637,71.26148262294431,4.7252530108854325,5745.0973746933705,287.95112323773554,0.7055962411414098,0.0,0.38838570131545214,0.0,0,0.0,148,0,0,4,26.0,21,78001.25027353106,598950.6009325318,0.6,0.0,0.0
152,32.475629459529706,70.98856843996658,4.553152089064921,5799.605948580162,280.5743291233359,0.6994018486220277,0.0,0.3933857013154521,0.0,0,0.0,148,0,0,4,26.0,22,75793.09499497831,600615.4188805025,0.6,0.0,0.0
153,32.34615911447831,71.39872128906326,4.464233282287387,5816.627407382416,271.9741314211066,0.6933335587935492,0.0,0.39578187320227926,0.0,0,0.0,149,0,0,4,26.0,23,72782.79908448576,603094.4234276619,0.6,0.0,0.0
153,32.42949244781165,71.1273729939917,4.3126572100958205,5872.2316114506175,265.69872531506945,0.6873903531715897,0.0,0.4007491934637171,0.0,0,0.0,149,0,0,4,26.0,24,70541.1420463819,604830.4938848595,0.6105263157894737,0.0,0.0
153,32.51282578114498,71.12404385565696,4.179646609657371,5928.642813331728,260.0252165829161,0.681430926766406,0.0,0.40571651372515505,0.0,0,0.0,149,0,0,4,26.0,25,67900.31164696123,607193.7998922114,0.6105263157894737,0.0,0.0
154,32.38449574360508,71.2498680039938,4.127017287941966,5946.494289093065,252.80484429445184,0.675321016382312,0.0,0.40801705584382286,0.0,0,0.0,150,0,0,4,26.0,26,65181.56084053397,609332.4591787718,0.6105263157894737,0.0,0.0
153,32.45567537779767,71.25337458827647,3.9215367984757834,6024.149813035706,231.343490455981,0.666190952215082,0.0,0.41238253449980933,0.0,1,34.32734504547178,149,0,0,4,26.0,27,62513.05069248595,612093.772339461,0.6210526315789474,0.0,0.0
153,32.539008711131004,70.98159056335743,5.123835408291002,6081.210320754192,226.35410686944456,0.6602844750783134,0.0,0.41761129266974395,0.0,1,34.32734504547178,149,0,0,4,26.0,28,60331.55701503187,614257.1380939176,0.6276595744680851,0.0,0.0
153,32.62234204446433,71.39084947055697,5.031661018965466,6138.914548862507,221.8149262524251,0.6545031194629722,0.0,0.4228400508396786,0.0,1,34.32734504547178,149,0,0,4,26.0,29,57313.18071914373,617187.0397374535,0.6276595744680851,0.0,0.0
153,32.705675377797675,71.11884758071416,4.950122067724064,6196.842796557786,217.30931974194067,0.6488469729033073,0.0,0.42806880900961325,0.0,1,34.32734504547178,149,0,0,4,26.0,30,55041.94741074636,619120.9200444797,0.6276595744680851,0.0,0.0
153,32.78900871113101,71.11551844237943,4.877432147141644,6254.957455370866,212.799345945991,0.6433047400096059,0.0,0.43329756717954787,0.0,1,34.32734504547178,149,0,0,4,26.0,31,52527.62177649256,622284.434508329,0.6276595744680851,0.0,0.0
153,32.87234204446434,71.2563769292256,4.812026080063331,6313.501905907805,208.52774028994224,0.6378685071801953,0.0,0.4386570443037309,0.0,1,34.32734504547178,149,0,0,4,26.0,32,49897.01452842811,625255.5345965899,0.6276595744680851,0.0,0.0
153,32.955675377797675,71.25304779089085,4.753083488913819,6372.373546951607,204.39323630275734,0.6324064403327117,0.0,0.44401652142791387,0.0,1,34.32734504547178,149,0,0,4,26.0,33,47336.33718219696,628360.6874994388,0.6276595744680851,0.0,0.0
152,33.0094250075687,71.09914997205078,4.727618922102165,6473.214434566503,201.7862566385276,0.6272404932364828,0.0,0.44806278951189604,0.0,2,35.93153834903642,148,0,0,4,26.0,34,45241.711318270245,631192.094205528,0.6276595744680851,3276.366166816633,0.0
152,33.09275834090204,71.51208821416611,4.679324802707788,6532.450109817908,198.0136970258473,0.6220458868752754,0.0,0.45358910530136975,0.0,2,35.93153834903642,148,0,0,4,26.0,35,42285.5944316921,634921.0816693456,0.6344086021505376,3276.366166816633,0.0
152,33.17609167423537,71.23763894346908,4.635078408804,6592.112513878414,194.47893139091767,0.6169442216997083,0.0,0.45911542109084347,0.0,2,35.93153834903642,148,0,0,4,26.0,36,40205.228604773714,637865.6730668251,0.6344086021505376,3276.366166816633,0.0
152,33.25942500756871,71.23428790290846,4.594509079027202,6652.02075257076,191.00238162681669,0.6119393116604548,0.0,0.4646417368803172,0.0,2,35.93153834903642,148,0,0,4,26.0,37,37606.676938406796,641114.2715919716,0.6344086021505376,3276.366166816633,0.0
152,33.34275834090204,71.3764020376944,4.557180681745102,6712.106302199224,187.515371076047,0.6070324903062101,0.0,0.4701680526697909,0.0,2,35.93153834903642,148,0,0,4,26.0,38,35208.460546400354,645126.836938209,0.6344086021505376,3276.366166816633,0.0
152,33.42609167423537,71.37305099713377,4.522637412065362,6772.398046089768,184.04606675604302,0.6022201581913309,0.0,0.4756943684592645,0.0,2,35.93153834903642,148,0,0,4,26.0,39,32602.892364546038,648458.1456624982,0.6344086021505376,3276.366166816633,0.0
152,33.50942500756871,71.09816312994552,4.490437403593856,6833.096365643577,180.79436129287689,0.5975026545257791,0.0,0.4812206842487382,0.0,2,35.93153834903642,148,0,0,4,26.0,40,30508.874448976658,651536.2571447663,0.6344086021505376,3276.366166816633,0.0
152,33.592758340902044,71.51208821416611,4.460545870800519,6894.1631589179015,177.72329391801645,0.5928825989111908,0.0,0.4867470000382119,0.0,2,35.93153834903642,148,0,0,4,26.0,41,27599.001675695436,655610.9371173218,0.6344086021505376,3276.366166816633,0.0
